metric,index,mean,std
precision macro (train) (transpose_{'n_semitones': 12}),2,0.8075406203136124,0.2199941628982758
precision macro (train) (transpose_{'n_semitones': 12}),3,0.8384472354048804,0.20915321952574928
precision macro (train) (transpose_{'n_semitones': 12}),4,0.8982247843114063,0.19701871786708938
precision macro (train) (transpose_{'n_semitones': 12}),5,0.9999820581499881,0.00010222758645226691
precision macro (train) (transpose_{'n_semitones': 12}),6,0.9257642436093807,0.09814038876667792
precision macro (train) (transpose_{'n_semitones': 12}),7,0.9845929153001011,0.03400493489142689
precision macro (train) (transpose_{'n_semitones': 12}),8,0.9975379185663488,0.004027525210114973
precision macro (train) (transpose_{'n_semitones': 12}),9,0.9998395516909874,0.00039705215569567164
precision macro (train) (transpose_{'n_semitones': 12}),10,1.0,0.0
precision macro (train) (transpose_{'n_semitones': 12}),11,1.0,0.0
precision macro (train) (transpose_{'n_semitones': 12}),12,0.4570960726739786,0.1305345418643799
precision macro (train) (transpose_{'n_semitones': 12}),13,0.5213939493209235,0.22088070974810647
precision macro (train) (transpose_{'n_semitones': 12}),14,0.2560991557982437,0.10618295067352498
precision macro (train) (transpose_{'n_semitones': 12}),15,0.028655771657985624,0.023171257118578436
precision macro (train) (transpose_{'n_semitones': 12}),16,0.28850434171794,0.09513689989907288
precision macro (test) (transpose_{'n_semitones': 12}),0,0.7301556089658156,0.21485636923436924
precision macro (test) (transpose_{'n_semitones': 12}),1,0.6752949144922231,0.22178674320272507
precision macro (test) (transpose_{'n_semitones': 12}),2,0.712450263521788,0.2145633856808635
precision macro (test) (transpose_{'n_semitones': 12}),3,0.7264345993305433,0.2143980455831299
precision macro (test) (transpose_{'n_semitones': 12}),4,0.7273407880035838,0.21862499787281947
precision macro (test) (transpose_{'n_semitones': 12}),5,0.7535116417031676,0.15478239775302113
precision macro (test) (transpose_{'n_semitones': 12}),6,0.761296074329292,0.17040449523220305
precision macro (test) (transpose_{'n_semitones': 12}),7,0.7551082494831323,0.16344855548129153
precision macro (test) (transpose_{'n_semitones': 12}),8,0.7585658455601639,0.1506771246864362
precision macro (test) (transpose_{'n_semitones': 12}),9,0.7572529743116083,0.1528419285361009
precision macro (test) (transpose_{'n_semitones': 12}),10,0.7203199477554785,0.14146683970092394
precision macro (test) (transpose_{'n_semitones': 12}),11,0.6720382716112673,0.13361276311643544
